★★机动车条款★★,★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
01汽车安全驾驶、文明驾驶,《中华人民共和国道路交通安全法》第二十二条第一款之规定
02汽车未确保安全通行（无交通信号）,《中华人民共和国道路交通安全法》第三十八条之规定
03汽车人行横道未减速,《中华人民共和国道路交通安全法》第四十七条之规定
04汽车人行横道未礼让行人,《中华人民共和国道路交通安全法》第四十七条第一款之规定
05汽车违反交通信号,《中华人民共和国道路交通安全法》第三十八条之规定
06汽车逆行,《中华人民共和国道路交通安全法》第三十五条之规定
07汽车不按道,《中华人民共和国道路交通安全法》第三十六条之规定
08汽车进出道路,《福建省实施<中华人民共和国道路交通安全法>办法》第三十四条之规定
09汽车追尾,《中华人民共和国道路交通安全法》第四十三条之规定
10汽车变道,《中华人民共和国道路交通安全法实施条例》第四十四条第二款之规定
11汽车超车,《中华人民共和国道路交通安全法实施条例》第四十七条之规定
12汽车转弯让直行（圆形灯控）,《中华人民共和国道路交通安全法实施条例》第五十一条第七项之规定
13汽车转弯让直行（无灯控）,《中华人民共和国道路交通安全法实施条例》第五十二条第三项之规定
14汽车转弯妨碍直行（有灯控）,《中华人民共和国道路交通安全法实施条例》第三十八条第一款第一项之规定
15汽车环岛内先行（无灯控）,《中华人民共和国道路交通安全法实施条例》第五十一条第二项、第五十二条之规定
16汽车环岛内先行（有灯控）,《中华人民共和国道路交通安全法实施条例》第五十一条第二项之规定
17汽车避让行人（无交通信号）,《中华人民共和国道路交通安全法》第四十七条第二款之规定
18汽车让右,《中华人民共和国道路交通安全法实施条例》第五十二条第二项之规定
19汽车闯红灯,《中华人民共和国道路交通安全法实施条例》第三十八条第一款第三项之规定
20汽车开车门（驾驶员）,《中华人民共和国道路交通安全法实施条例》第六十三条第四项之规定
21汽车开车门（乘员）,《中华人民共和国道路交通安全法实施条例》第七十七条第三项
22汽车违停,《中华人民共和国道路交通安全法》第五十六条第二款之规定
23汽车进出停车场或者停车位,《福建省实施<中华人民共和国道路交通安全法>办法》第三十四条之规定
24汽车倒车,《中华人民共和国道路交通安全法实施条例》第五十条之规定
25汽车恶劣天气未减速,《中华人民共和国道路交通安全法》第四十二条第二款之规定
26汽车掉头,《中华人民共和国道路交通安全法实施条例》第四十九条第二款之规定
27汽车右转让左转（圆形灯控）,《中华人民共和国道路交通安全法实施条例》第五十一条第七项之规定
28汽车右转让左转（无灯控）,《中华人民共和国道路交通安全法实施条例》第五十二条第四项之规定
29汽车左转弯未靠路口中心点（有灯控）,《中华人民共和国道路交通安全法实施条例》第五十二一条第三项、第五十二条之规定
30汽车左转弯未靠路口中心点（无灯控）,《中华人民共和国道路交通安全法实施条例》第五十二一条第三项、第五十二条之规定
31汽车连续变道,《福建省实施<中华人民共和国道路交通安全法>办法》第三十三条之规定
32汽车穿插等候的车辆,《中华人民共和国道路交通安全法》第四十五条之规定
33汽车堵车时进入路口,《中华人民共和国道路交通安全法实施条例》第五十三条之规定
34汽车依次交替通行,《中华人民共和国道路交通安全法实施条例》第五十三条第三款之规定
35汽车前车掉头时超车,《中华人民共和国道路交通安全法》第四十三条之规定
